학년	교과과정	교과영역구분	학수강좌번호	교과목명	교원명	수업캠퍼스	요일/시간	강의실	학점	이론	실습	공학설계	강의계획서	교과목해설	강의유형	강의종류	원어강의	강평결과	이수구분	강의미리보기	개설대학	개설학과/전공	비고	교과목영문명
1,2학년	학문기초	제5영역:외국어	PRI5083-01	일본어(초급)	김상원	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	102-458(학술/문화관 K403 강의실),102-458(학술/문화관 K403 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-02	일본어(초급)	백혜영	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	102-443(학술/문화관 K409 강의실),102-443(학술/문화관 K409 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-03	일본어(초급)	오채현	서울	월5.5-6.5/13:30-15:00,수2.5-3.5/10:30-12:00	201-214(사회과학/경영관 M211 강의실),201-214(사회과학/경영관 M211 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-04	일본어(초급)	최정민	서울	월5.5-6.5/13:30-15:00,수2.5-3.5/10:30-12:00	501-304(학림관 J311 강의실),501-304(학림관 J311 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-05	일본어(초급)	채영임	서울	화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30	102-458(학술/문화관 K403 강의실),102-458(학술/문화관 K403 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-06	일본어(초급)	강윤미	서울	화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30	102-460(학술/문화관 K404 강의실),102-460(학술/문화관 K404 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-07	일본어(초급)	이정은	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	201-129(사회과학/경영관 M129 강의실),201-129(사회과학/경영관 M129 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-08	일본어(초급)	김채현	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	201-134(사회과학/경영관 M134 강의실),201-134(사회과학/경영관 M134 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-09	일본어(초급)	스즈키에이코	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	102-437(학술/문화관 K406 강의실),102-458(학술/문화관 K403 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-10	일본어(초급)	김현아	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	102-460(학술/문화관 K404 강의실),102-460(학술/문화관 K404 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-11	일본어(초급)	김경민	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	201-134(사회과학/경영관 M134 강의실),201-134(사회과학/경영관 M134 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-12	일본어(초급)	신은화	서울	월5.5-6.5/13:30-15:00,수2.5-3.5/10:30-12:00	201-134(사회과학/경영관 M134 강의실),201-134(사회과학/경영관 M134 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-13	일본어(초급)	최은희	서울	월10.0-12.5/18:00-20:30	202-356(사회과학/경영관 L309 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-14	일본어(초급)	최선희	서울	화10.0-12.5/18:00-20:30	202-356(사회과학/경영관 L309 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-15	일본어(초급)	최지수	일산	목4.0-6.5/12:00-15:00	1102-219(종합강의동 219 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	BMC교과목, 일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5083-16	일본어(초급)	유미선	서울	화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30	102-443(학술/문화관 K409 강의실),102-443(학술/문화관 K409 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Basic Japanese
1,2학년	학문기초	제5영역:외국어	PRI5084-02	일본어(중급)	이상이	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	102-441(학술/문화관 K408 강의실),102-441(학술/문화관 K408 강의실)	3	3	0				이론	일반강의			학기		문과대학	일어일문학과	일문과수강제한	Intermediate Japanese
1,2학년	학문기초	제5영역:외국어	PRI5085-01	독일어(초급)	이상욱	서울	화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30	201-134(사회과학/경영관 M134 강의실),201-134(사회과학/경영관 M134 강의실)	3	3	0				이론	일반강의			학기		문과대학	독어문화학전공	독어문화학전공 수강제한	Basic German
1,2학년	학문기초	제5영역:외국어	PRI5085-02	독일어(초급)	이상욱	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	201-134(사회과학/경영관 M134 강의실),201-134(사회과학/경영관 M134 강의실)	3	3	0				이론	일반강의			학기		문과대학	독어문화학전공	독어문화학전공 수강제한	Basic German
1,2학년	학문기초	제5영역:외국어	PRI5087-01	불어(초급)	박귀애	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	102-454(학술/문화관 K401 강의실),102-454(학술/문화관 K401 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic French
1,2학년	학문기초	제5영역:외국어	PRI5087-02	불어(초급)	박귀애	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	102-362(학술/문화관 K305 강의실),102-362(학술/문화관 K305 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic French
1,2학년	학문기초	제5영역:외국어	PRI5089-01	러시아어(초급)	박재만	서울	화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30	102-237(학술/문화관 K205 강의실),102-237(학술/문화관 K205 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic Russian
1,2학년	학문기초	제5영역:외국어	PRI5089-02	러시아어(초급)	박재만	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	102-237(학술/문화관 K205 강의실),102-237(학술/문화관 K205 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic Russian
1,2학년	학문기초	제5영역:외국어	PRI5091-01	스페인어(초급)	정효석	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	102-237(학술/문화관 K205 강의실),102-237(학술/문화관 K205 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic Spanish
1,2학년	학문기초	제5영역:외국어	PRI5091-02	스페인어(초급)	정효석	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	102-221(학술/문화관 K212 강의실),102-221(학술/문화관 K212 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic Spanish
1,2학년	학문기초	제5영역:외국어	PRI5093-01	아랍어(초급)	이동은	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	207-229(혜화관 229 229 강의실),207-229(혜화관 229 229 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Basic Arabic
1,2학년	학문기초	제5영역:외국어	PRI5095-01	교양한문	남궁윤	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-02	교양한문	민희주	서울	화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30	201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-04	교양한문	박성호	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-05	교양한문	박상란	서울	화8.0-9.0/16:00-17:30,목8.0-9.0/16:00-17:30	201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-06	교양한문	김기종	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-07	교양한문	정난영	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-08	교양한문	최진영	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	202-387(사회과학/경영관 L305 강의실),202-387(사회과학/경영관 L305 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-09	교양한문	홍진영	서울	월5.5-6.5/13:30-15:00,수2.5-3.5/10:30-12:00	201-222(사회과학/경영관 M215 강의실),201-222(사회과학/경영관 M215 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-10	교양한문	이창헌	서울	월10.0-12.5/18:00-20:30	201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-11	교양한문	김상일	서울	화10.0-12.5/18:00-20:30	201-226(사회과학/경영관 M216 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부		Basic Readings in Classical Chinese
1,2학년	학문기초	제5영역:외국어	PRI5095-12	교양한문	곽미라	서울	화11.0-13.5/18:50-21:30	102-219(학술/문화관 K211 강의실)	3	3	0				이론	일반강의			학기		문과대학	국어국문문예창작학부	글로벌무역학과전용	Basic Readings in Classical Chinese
전체학년	학문기초	제5영역:외국어	PRI5096-01	라틴어(초급)	손윤락	서울	화8.0-9.0/16:00-17:30,목8.0-9.0/16:00-17:30	407-121(정보문화관P P305 강의실),407-121(정보문화관P P305 강의실)	3	3	0				이론				학기		행정및부속기관	교양외국어센터		Latin(elementary)
1,2학년	학문기초	제5영역:외국어	PRI5097-01	OPIc	오클리애터슨	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)	3	3	0				이론	외국어강의	영어		학기		문과대학	영어영문학부	영어강의	OPIc
1,2학년	학문기초	제5영역:외국어	PRI5097-02	OPIc	유미	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	102-315(학술/문화관 K311 강의실),102-315(학술/문화관 K311 강의실)	3	3	0				이론	외국어강의	영어		학기		문과대학	영어영문학부	영어강의	OPIc
전체학년	일반교양	자기개발	DEV0006-01	21세기Leadership(경제사회)	유창조	서울	수8.0-9.5/16:00-18:00	102-147(학술/문화관 덕암세미나 덕암세미나실)	1	2	0				이론				일교		행정및부속기관	다르마칼리지	P/F	21st Century Leadership(Eco&Soc)
전체학년	일반교양	문화예술체육	EGC7076-01	HealthandWellness	제이미멜린추크	서울	화8.0-9.0/16:00-17:30,목8.0-9.0/16:00-17:30	102-443(학술/문화관 K409 강의실),102-443(학술/문화관 K409 강의실)	3	3	0				이론	외국어강의	영어		일교		행정및부속기관	교양외국어센터	영어강의	Health and Wellness
전체학년	일반교양	문화예술체육	EGC7021-01	검도	정동권	서울	화3.0-4.5/11:00-13:00	502-B111(체육관 B103 운동기능학습장2)	1	0	2				실습				일교		사범대학	체육교육과		Kum Do
2-4학년	일반교양	자기개발	DEV1004-01	글로벌비즈니스개론	임윤서	서울	목3.0-4.5/11:00-13:00	501-409(학림관 J413 강의실)	2	2	0				이론				일교		행정및부속기관	역량개발센터	2-4학년대상	PracticeofBusinessInformation
전체학년	일반교양	인문	EGC2065-02	글로벌한국사	이성호	서울	월5.5-6.5/13:30-15:00,수2.5-3.5/10:30-12:00	408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)	3	3	0				이론				일교		문과대학	사학과		Global Korean History
전체학년	일반교양	인문	EGC2065-01	글로벌한국사	김성연	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)	3	3	0				이론				일교		문과대학	사학과		Global Korean History
전체학년	일반교양	인문	EGC2065-03	글로벌한국사	김항기	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)	3	3	0				이론				일교		문과대학	사학과		Global Korean History
전체학년	일반교양	자기개발	DEV1042-04	기술창조와특허	임중연	서울	월10.0-12.5/18:00-20:30	401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)	3	3	0	 0.0			이론				일교		공과대학	기계로봇에너지공학과	팀티칭	Technology Invention and Patent
전체학년	일반교양	자기개발	DEV1042-03	기술창조와특허	오승택	서울	화8.0-10.5/16:00-18:50	408-221(정보문화관Q Q201 (Q) 공용컴퓨터실)	3	3	0	 0.0			이론				일교		공과대학	기계로봇에너지공학과		Technology Invention and Patent
전체학년	일반교양	자기개발	DEV1042-01	기술창조와특허	오승택	서울	목3.0-5.5/11:00-14:00	408-221(정보문화관Q Q201 (Q) 공용컴퓨터실)	3	3	0	 0.0			이론				일교		공과대학	기계로봇에너지공학과		Technology Invention and Patent
전체학년	일반교양	자기개발	DEV1042-02	기술창조와특허	오승택	서울	목8.0-10.5/16:00-18:50	408-221(정보문화관Q Q201 (Q) 공용컴퓨터실)	3	3	0	 0.0			이론				일교		공과대학	기계로봇에너지공학과		Technology Invention and Patent
전체학년	일반교양	자기개발	DEV1053-01	기업가정신과혁신1	전화성	서울	금6.0-7.5/14:00-16:00	207-514(혜화관 514 514 강의실)	2	2	0				이론				일교		행정및부속기관	청년기업가센터		Entrepreneurship & Innovation 1
전체학년	일반교양	자기개발	DEV1053-02	기업가정신과혁신1	성창수	서울	수6.0-7.5/14:00-16:00	207-514(혜화관 514 514 강의실)	2	2	0				이론				일교		행정및부속기관	청년기업가센터		Entrepreneurship & Innovation 1
전체학년	일반교양	자기개발	DEV1053-04	기업가정신과혁신1	김대규	일산	금3.0-4.5/11:00-13:00	1104-227(상영바이오관 227 강의실)	2	2	0				이론				일교		행정및부속기관	청년기업가센터	BMC교과목	Entrepreneurship & Innovation 1
전체학년	일반교양	자기개발	DEV1053-03	기업가정신과혁신1	전화성	서울	금4.0-5.5/12:00-14:00	207-514(혜화관 514 514 강의실)	2	2	0				이론				일교		행정및부속기관	청년기업가센터		Entrepreneurship & Innovation 1
전체학년	일반교양	문화예술체육	EGC7065-02	기초작곡이론및실습	이정미	일산	화6.5-8.0/14:30-16:30	1104-227(상영바이오관 227 강의실)	2	2	0				이론				일교		행정및부속기관	다르마칼리지	BMC교과목, 팀티칭	Basic Composition Theory and Practice
전체학년	일반교양	문화예술체육	EGC7065-01	기초작곡이론및실습	김영경	서울	금6.0-7.5/14:00-16:00	102-447(학술/문화관 K411초허당 초허당세미나실)	2	2	0				이론				일교		행정및부속기관	다르마칼리지		Basic Composition Theory and Practice
전체학년	일반교양	문화예술체육	EGC7066-01	내인생의클래식	손순남	서울	수8.0-9.5/16:00-18:00	102-447(학술/문화관 K411초허당 초허당세미나실)	2	2	0				이론				일교		행정및부속기관	다르마칼리지		Classic for my Life
전체학년	일반교양	문화예술체육	EGC7014-01	농구	이승규	서울	목1.0-2.5/09:00-11:00	502-243(체육관 113 경기장)	1	0	2				실습				일교		사범대학	체육교육과		Basketball
전체학년	일반교양	인문	EGC2053-01	대중문화와불교	이석환	서울	화8.0-9.0/16:00-17:30,목8.0-9.0/16:00-17:30	202-364(사회과학/경영관 L311 강의실),202-364(사회과학/경영관 L311 강의실)	3	3	0				이론				일교		불교대학	불교학부		Pop Culture and Buddhism
전체학년	일반교양	사회	EGC3036-01	대학생을위한예비부모교육	이은주	서울	수6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30	501-250(학림관 J211 강의실),501-250(학림관 J211 강의실)	3	3	0				이론				일교		사범대학	가정교육과	가정교육과 수강제한	preparental education for college students
전체학년	일반교양	사회	EGC3036-02	대학생을위한예비부모교육	이은주	일산	월1.0-3.5/09:00-12:00	1102-218(종합강의동 218 강의실)	3	3	0				이론				일교		사범대학	가정교육과	BMC교과목, 가정교육과 수강제한	preparental education for college students
